week_start,sku_id,cluster_id,units_sold,promo_active,price_avg
2024-11-18,SKU-1042,C-EAST,14,false,23.12
2024-11-25,SKU-1042,C-EAST,16,false,22.74
2024-12-02,SKU-1042,C-EAST,14,false,22.83
2024-12-09,SKU-1042,C-EAST,15,false,22.41
2024-12-16,SKU-1042,C-EAST,16,false,23.64
2024-12-23,SKU-1042,C-EAST,11,false,23.08
2024-12-30,SKU-1042,C-EAST,14,false,22.48
2025-01-06,SKU-1042,C-EAST,16,false,22.71
2025-01-13,SKU-1042,C-EAST,14,false,22.89
2025-01-20,SKU-1042,C-EAST,14,false,22.87
2025-01-27,SKU-1042,C-EAST,20,false,22.64
2025-02-03,SKU-1042,C-EAST,18,false,22.63
2025-02-10,SKU-1042,C-EAST,15,false,22.56
2025-02-17,SKU-1042,C-EAST,21,false,22.44
2025-02-24,SKU-1042,C-EAST,22,false,22.75
2025-03-03,SKU-1042,C-EAST,31,false,23.15
2025-03-10,SKU-1042,C-EAST,24,false,22.75
2025-03-17,SKU-1042,C-EAST,23,false,23.41
2025-03-24,SKU-1042,C-EAST,34,false,22.48
2025-03-31,SKU-1042,C-EAST,22,false,22.73
2025-04-07,SKU-1042,C-EAST,36,false,22.72
2025-04-14,SKU-1042,C-EAST,30,false,23.62
2025-04-21,SKU-1042,C-EAST,33,false,23.25
2025-04-28,SKU-1042,C-EAST,36,false,22.97
2025-05-05,SKU-1042,C-EAST,53,false,22.81
2025-05-12,SKU-1042,C-EAST,38,false,23.42
2025-05-19,SKU-1042,C-EAST,41,false,23.07
2025-05-26,SKU-1042,C-EAST,39,false,23.11
2025-06-02,SKU-1042,C-EAST,28,false,23.05
2025-06-09,SKU-1042,C-EAST,39,false,23.6
2025-06-16,SKU-1042,C-EAST,37,false,22.9
2025-06-23,SKU-1042,C-EAST,48,false,22.69
2025-06-30,SKU-1042,C-EAST,40,false,23.39
2025-07-07,SKU-1042,C-EAST,34,false,22.85
2025-07-14,SKU-1042,C-EAST,29,false,22.62
2025-07-21,SKU-1042,C-EAST,37,false,23.2
2025-07-28,SKU-1042,C-EAST,44,false,22.39
2025-08-04,SKU-1042,C-EAST,32,false,23.66
2025-08-11,SKU-1042,C-EAST,34,false,22.99
2025-08-18,SKU-1042,C-EAST,33,false,23.56
2025-08-25,SKU-1042,C-EAST,30,false,23.38
2025-09-01,SKU-1042,C-EAST,30,false,22.79
2025-09-08,SKU-1042,C-EAST,38,false,23.17
2025-09-15,SKU-1042,C-EAST,38,false,22.41
2025-09-22,SKU-1042,C-EAST,29,false,22.78
2025-09-29,SKU-1042,C-EAST,44,true,23.18
2025-10-06,SKU-1042,C-EAST,57,true,23.22
2025-10-13,SKU-1042,C-EAST,53,true,22.84
2025-10-20,SKU-1042,C-EAST,22,false,22.88
2025-10-27,SKU-1042,C-EAST,17,false,22.31
2025-11-03,SKU-1042,C-EAST,18,false,23.01
2025-11-10,SKU-1042,C-EAST,18,false,23.09
2025-11-17,SKU-1042,C-EAST,13,false,22.83
2025-11-24,SKU-1042,C-EAST,13,false,23.36
2025-12-01,SKU-1042,C-EAST,12,false,22.77
2025-12-08,SKU-1042,C-EAST,14,false,22.32
2025-12-15,SKU-1042,C-EAST,15,false,23.62
2025-12-22,SKU-1042,C-EAST,15,false,22.45
2025-12-29,SKU-1042,C-EAST,12,false,22.72
2026-01-05,SKU-1042,C-EAST,13,false,22.92
2026-01-12,SKU-1042,C-EAST,35,true,22.95
2026-01-19,SKU-1042,C-EAST,19,false,22.89
2026-01-26,SKU-1042,C-EAST,17,false,22.7
2026-02-02,SKU-1042,C-EAST,16,false,23.41
2026-02-09,SKU-1042,C-EAST,20,false,23.18
2026-02-16,SKU-1042,C-EAST,23,false,23.22
2026-02-23,SKU-1042,C-EAST,26,false,22.63
2026-03-02,SKU-1042,C-EAST,60,true,22.53
2026-03-09,SKU-1042,C-EAST,61,true,23.61
2026-03-16,SKU-1042,C-EAST,59,true,22.61
2026-03-23,SKU-1042,C-EAST,22,false,23.17
2026-03-30,SKU-1042,C-EAST,32,false,22.89
2026-04-06,SKU-1042,C-EAST,39,false,22.56
2026-04-13,SKU-1042,C-EAST,37,false,23.11
2026-04-20,SKU-1042,C-EAST,32,false,22.57
2026-04-27,SKU-1042,C-EAST,45,false,23.33
2026-05-04,SKU-1042,C-EAST,35,false,22.43
2026-05-11,SKU-1042,C-EAST,32,false,23.49
2024-11-18,SKU-1042,C-WEST,9,false,22.92
2024-11-25,SKU-1042,C-WEST,11,false,22.65
2024-12-02,SKU-1042,C-WEST,10,false,23.17
2024-12-09,SKU-1042,C-WEST,9,false,23.11
2024-12-16,SKU-1042,C-WEST,9,false,22.77
2024-12-23,SKU-1042,C-WEST,8,false,23.46
2024-12-30,SKU-1042,C-WEST,7,false,23.26
2025-01-06,SKU-1042,C-WEST,8,false,22.7
2025-01-13,SKU-1042,C-WEST,9,false,22.48
2025-01-20,SKU-1042,C-WEST,9,false,22.45
2025-01-27,SKU-1042,C-WEST,13,false,23.25
2025-02-03,SKU-1042,C-WEST,10,false,22.99
2025-02-10,SKU-1042,C-WEST,12,false,22.82
2025-02-17,SKU-1042,C-WEST,12,false,22.55
2025-02-24,SKU-1042,C-WEST,12,false,23.18
2025-03-03,SKU-1042,C-WEST,13,false,23.67
2025-03-10,SKU-1042,C-WEST,15,false,22.48
2025-03-17,SKU-1042,C-WEST,17,false,22.72
2025-03-24,SKU-1042,C-WEST,17,false,22.79
2025-03-31,SKU-1042,C-WEST,17,false,22.3
2025-04-07,SKU-1042,C-WEST,21,false,23.62
2025-04-14,SKU-1042,C-WEST,25,false,22.99
2025-04-21,SKU-1042,C-WEST,18,false,22.86
2025-04-28,SKU-1042,C-WEST,20,false,23.45
2025-05-05,SKU-1042,C-WEST,25,false,22.33
2025-05-12,SKU-1042,C-WEST,25,false,23.34
2025-05-19,SKU-1042,C-WEST,24,false,23.03
2025-05-26,SKU-1042,C-WEST,28,false,22.52
2025-06-02,SKU-1042,C-WEST,26,false,23.35
2025-06-09,SKU-1042,C-WEST,25,false,23.05
2025-06-16,SKU-1042,C-WEST,25,false,23.36
2025-06-23,SKU-1042,C-WEST,27,false,23.43
2025-06-30,SKU-1042,C-WEST,22,false,22.35
2025-07-07,SKU-1042,C-WEST,30,false,23.28
2025-07-14,SKU-1042,C-WEST,19,false,22.43
2025-07-21,SKU-1042,C-WEST,27,false,23.44
2025-07-28,SKU-1042,C-WEST,28,false,23.67
2025-08-04,SKU-1042,C-WEST,24,false,22.91
2025-08-11,SKU-1042,C-WEST,21,false,22.9
2025-08-18,SKU-1042,C-WEST,26,false,23.66
2025-08-25,SKU-1042,C-WEST,20,false,23.41
2025-09-01,SKU-1042,C-WEST,18,false,23.1
2025-09-08,SKU-1042,C-WEST,18,false,23.16
2025-09-15,SKU-1042,C-WEST,25,false,22.52
2025-09-22,SKU-1042,C-WEST,19,false,22.58
2025-09-29,SKU-1042,C-WEST,17,false,22.37
2025-10-06,SKU-1042,C-WEST,16,false,23.03
2025-10-13,SKU-1042,C-WEST,18,false,22.74
2025-10-20,SKU-1042,C-WEST,14,false,22.66
2025-10-27,SKU-1042,C-WEST,12,false,23.47
2025-11-03,SKU-1042,C-WEST,13,false,22.42
2025-11-10,SKU-1042,C-WEST,9,false,23.62
2025-11-17,SKU-1042,C-WEST,10,false,23.66
2025-11-24,SKU-1042,C-WEST,7,false,23.49
2025-12-01,SKU-1042,C-WEST,10,false,22.63
2025-12-08,SKU-1042,C-WEST,11,false,23.27
2025-12-15,SKU-1042,C-WEST,10,false,23.22
2025-12-22,SKU-1042,C-WEST,7,false,22.97
2025-12-29,SKU-1042,C-WEST,8,false,22.86
2026-01-05,SKU-1042,C-WEST,8,false,22.91
2026-01-12,SKU-1042,C-WEST,21,true,22.42
2026-01-19,SKU-1042,C-WEST,10,false,23.0
2026-01-26,SKU-1042,C-WEST,8,false,22.8
2026-02-02,SKU-1042,C-WEST,12,false,23.6
2026-02-09,SKU-1042,C-WEST,12,false,23.36
2026-02-16,SKU-1042,C-WEST,14,false,23.3
2026-02-23,SKU-1042,C-WEST,15,false,23.21
2026-03-02,SKU-1042,C-WEST,35,true,22.78
2026-03-09,SKU-1042,C-WEST,46,true,22.59
2026-03-16,SKU-1042,C-WEST,41,true,22.88
2026-03-23,SKU-1042,C-WEST,17,false,23.43
2026-03-30,SKU-1042,C-WEST,20,false,22.76
2026-04-06,SKU-1042,C-WEST,19,false,22.96
2026-04-13,SKU-1042,C-WEST,17,false,22.76
2026-04-20,SKU-1042,C-WEST,23,false,22.43
2026-04-27,SKU-1042,C-WEST,26,false,23.37
2026-05-04,SKU-1042,C-WEST,25,false,23.47
2026-05-11,SKU-1042,C-WEST,28,false,22.9
2025-12-01,SKU-1002,C-EAST,4,false,50.48
2025-12-08,SKU-1002,C-EAST,5,false,52.87
2025-12-15,SKU-1002,C-EAST,5,false,50.76
2025-12-22,SKU-1002,C-EAST,8,false,51.13
2025-12-29,SKU-1002,C-EAST,11,false,51.21
2026-01-05,SKU-1002,C-EAST,10,false,50.93
2026-01-12,SKU-1002,C-EAST,8,false,52.01
2026-01-19,SKU-1002,C-EAST,8,false,52.16
2026-01-26,SKU-1002,C-EAST,11,false,50.39
2026-02-02,SKU-1002,C-EAST,11,false,50.68
2026-02-09,SKU-1002,C-EAST,13,false,52.13
2026-02-16,SKU-1002,C-EAST,14,false,52.51
2026-02-23,SKU-1002,C-EAST,14,false,50.39
