week_start,parent_brand,cluster_id,units_sold
2024-11-18,Black Pine Whiskey,C-EAST,19942
2024-11-18,Black Pine Whiskey,C-WEST,16979
2024-11-18,Crestmark Bourbon,C-EAST,19605
2024-11-18,Crestmark Bourbon,C-WEST,17265
2024-11-18,Maple Hollow Ale,C-EAST,28898
2024-11-18,Maple Hollow Ale,C-WEST,15862
2024-11-18,Northwind Lager,C-EAST,15464
2024-11-18,Northwind Lager,C-WEST,7904
2024-11-18,Riverbend IPA,C-EAST,25053
2024-11-18,Riverbend IPA,C-WEST,20894
2024-11-18,Solano Tequila,C-EAST,21180
2024-11-18,Solano Tequila,C-WEST,13800
2024-11-25,Black Pine Whiskey,C-EAST,19672
2024-11-25,Black Pine Whiskey,C-WEST,17836
2024-11-25,Crestmark Bourbon,C-EAST,17027
2024-11-25,Crestmark Bourbon,C-WEST,16809
2024-11-25,Maple Hollow Ale,C-EAST,25645
2024-11-25,Maple Hollow Ale,C-WEST,13203
2024-11-25,Northwind Lager,C-EAST,15462
2024-11-25,Northwind Lager,C-WEST,8959
2024-11-25,Riverbend IPA,C-EAST,21069
2024-11-25,Riverbend IPA,C-WEST,20738
2024-11-25,Solano Tequila,C-EAST,19599
2024-11-25,Solano Tequila,C-WEST,13387
2024-12-02,Black Pine Whiskey,C-EAST,19176
2024-12-02,Black Pine Whiskey,C-WEST,18723
2024-12-02,Crestmark Bourbon,C-EAST,16134
2024-12-02,Crestmark Bourbon,C-WEST,23995
2024-12-02,Maple Hollow Ale,C-EAST,34980
2024-12-02,Maple Hollow Ale,C-WEST,11922
2024-12-02,Northwind Lager,C-EAST,18952
2024-12-02,Northwind Lager,C-WEST,11727
2024-12-02,Riverbend IPA,C-EAST,18944
2024-12-02,Riverbend IPA,C-WEST,18605
2024-12-02,Solano Tequila,C-EAST,16072
2024-12-02,Solano Tequila,C-WEST,14801
2024-12-09,Black Pine Whiskey,C-EAST,17206
2024-12-09,Black Pine Whiskey,C-WEST,16148
2024-12-09,Crestmark Bourbon,C-EAST,16234
2024-12-09,Crestmark Bourbon,C-WEST,18432
2024-12-09,Maple Hollow Ale,C-EAST,29739
2024-12-09,Maple Hollow Ale,C-WEST,11234
2024-12-09,Northwind Lager,C-EAST,17746
2024-12-09,Northwind Lager,C-WEST,9474
2024-12-09,Riverbend IPA,C-EAST,17739
2024-12-09,Riverbend IPA,C-WEST,17970
2024-12-09,Solano Tequila,C-EAST,11048
2024-12-09,Solano Tequila,C-WEST,16054
2024-12-16,Black Pine Whiskey,C-EAST,19446
2024-12-16,Black Pine Whiskey,C-WEST,14211
2024-12-16,Crestmark Bourbon,C-EAST,19425
2024-12-16,Crestmark Bourbon,C-WEST,21146
2024-12-16,Maple Hollow Ale,C-EAST,31131
2024-12-16,Maple Hollow Ale,C-WEST,9995
2024-12-16,Northwind Lager,C-EAST,19590
2024-12-16,Northwind Lager,C-WEST,10133
2024-12-16,Riverbend IPA,C-EAST,22849
2024-12-16,Riverbend IPA,C-WEST,20522
2024-12-16,Solano Tequila,C-EAST,14410
2024-12-16,Solano Tequila,C-WEST,15895
2024-12-23,Black Pine Whiskey,C-EAST,20760
2024-12-23,Black Pine Whiskey,C-WEST,17021
2024-12-23,Crestmark Bourbon,C-EAST,18093
2024-12-23,Crestmark Bourbon,C-WEST,16382
2024-12-23,Maple Hollow Ale,C-EAST,25897
2024-12-23,Maple Hollow Ale,C-WEST,11593
2024-12-23,Northwind Lager,C-EAST,12967
