promo_id,sku_id,cluster_id,start_date,end_date,promo_type
PROMO-5001,SKU-1040,C-EAST,2026-04-13,2026-05-10,TPR
PROMO-5002,SKU-1042,ALL,2026-01-12,2026-01-18,Co-Marketing
PROMO-5003,SKU-2017,C-WEST,2026-02-23,2026-03-01,BOGO
PROMO-5004,SKU-1012,C-WEST,2025-03-03,2025-03-09,Display
PROMO-5005,SKU-1016,C-WEST,2025-06-02,2025-06-22,Co-Marketing
PROMO-5006,SKU-1023,ALL,2026-01-26,2026-02-15,Co-Marketing
PROMO-5007,SKU-1026,ALL,2026-03-02,2026-03-22,Display
PROMO-5008,SKU-1020,C-WEST,2025-02-03,2025-03-02,TPR
PROMO-5009,SKU-1006,C-EAST,2026-01-05,2026-01-25,BOGO
PROMO-5010,SKU-1004,ALL,2026-02-09,2026-03-08,TPR
PROMO-5011,SKU-1032,C-EAST,2026-03-09,2026-04-05,TPR
PROMO-5012,SKU-1034,ALL,2026-03-16,2026-03-29,BOGO
PROMO-5013,SKU-3008,C-WEST,2024-12-30,2025-01-05,Co-Marketing
PROMO-5014,SKU-2017,ALL,2026-03-30,2026-04-26,Display
PROMO-5015,SKU-1021,C-WEST,2026-01-26,2026-02-08,Display
PROMO-5016,SKU-1026,ALL,2025-02-03,2025-02-16,Display
PROMO-5017,SKU-1037,C-WEST,2025-12-15,2026-01-11,Co-Marketing
PROMO-5018,SKU-1025,C-WEST,2025-04-07,2025-05-04,TPR
PROMO-5019,SKU-1033,ALL,2025-11-03,2025-11-09,BOGO
PROMO-5020,SKU-1015,C-WEST,2025-02-03,2025-02-16,BOGO
PROMO-5021,SKU-1021,C-EAST,2026-01-26,2026-02-22,BOGO
PROMO-5022,SKU-1032,C-WEST,2026-01-19,2026-02-01,BOGO
PROMO-5023,SKU-1028,C-WEST,2026-03-09,2026-04-05,BOGO
PROMO-5024,SKU-1006,C-WEST,2025-09-15,2025-09-28,TPR
PROMO-5025,SKU-1006,C-EAST,2025-08-18,2025-08-31,Display
PROMO-5026,SKU-1025,ALL,2025-10-06,2025-10-19,TPR
PROMO-5027,SKU-1042,C-EAST,2025-09-29,2025-10-19,Co-Marketing
PROMO-5028,SKU-1007,ALL,2025-03-31,2025-04-06,BOGO
PROMO-5029,SKU-1042,ALL,2026-03-02,2026-03-16,Co-Marketing
